DATE,ICSA
1985-09-01,408500.000000000000
1985-10-01,405750.000000000000
1985-11-01,393400.000000000000
1985-12-01,385250.000000000000
1986-01-01,366750.000000000000
1986-02-01,369500.000000000000
1986-03-01,381200.000000000000
1986-04-01,385750.000000000000
1986-05-01,386000.000000000000
1986-06-01,370500.000000000000
1986-07-01,362000.000000000000
1986-08-01,407400.000000000000
1986-09-01,395500.000000000000
1986-10-01,383250.000000000000
1986-11-01,363200.000000000000
1986-12-01,358250.000000000000
1987-01-01,345600.000000000000
1987-02-01,348750.000000000000
1987-03-01,333250.000000000000
1987-04-01,336250.000000000000
1987-05-01,331000.000000000000
1987-06-01,322250.000000000000
1987-07-01,319250.000000000000
1987-08-01,325600.000000000000
1987-09-01,309750.000000000000
1987-10-01,300000.000000000000
1987-11-01,306750.000000000000
1987-12-01,318750.000000000000
1988-01-01,335600.000000000000
1988-02-01,318750.000000000000
1988-03-01,305500.000000000000
1988-04-01,312200.000000000000
1988-05-01,313750.000000000000
1988-06-01,308250.000000000000
1988-07-01,321600.000000000000
1988-08-01,314750.000000000000
1988-09-01,304500.000000000000
1988-10-01,291400.000000000000
1988-11-01,290500.000000000000
1988-12-01,293200.000000000000
1989-01-01,289750.000000000000
1989-02-01,303750.000000000000
1989-03-01,322000.000000000000
1989-04-01,311800.000000000000
1989-05-01,324500.000000000000
1989-06-01,333000.000000000000
1989-07-01,341600.000000000000
1989-08-01,334500.000000000000
1989-09-01,336000.000000000000
1989-10-01,363250.000000000000
1989-11-01,336750.000000000000
1989-12-01,355200.000000000000
1990-01-01,361000.000000000000
1990-02-01,358250.000000000000
1990-03-01,345200.000000000000
1990-04-01,361750.000000000000
1990-05-01,355250.000000000000
1990-06-01,362400.000000000000
1990-07-01,367000.000000000000
1990-08-01,384250.000000000000
1990-09-01,394000.000000000000
1990-10-01,425250.000000000000
1990-11-01,446750.000000000000
1990-12-01,455000.000000000000
1991-01-01,439750.000000000000
1991-02-01,484000.000000000000
1991-03-01,498600.000000000000
1991-04-01,467250.000000000000
1991-05-01,447000.000000000000
1991-06-01,428600.000000000000
1991-07-01,418250.000000000000
1991-08-01,431600.000000000000
1991-09-01,424500.000000000000
1991-10-01,422750.000000000000
1991-11-01,445400.000000000000
1991-12-01,456750.000000000000
1992-01-01,439000.000000000000
1992-02-01,442200.000000000000
1992-03-01,429500.000000000000
1992-04-01,418250.000000000000
1992-05-01,417400.000000000000
1992-06-01,418750.000000000000
1992-07-01,442750.000000000000
1992-08-01,407200.000000000000
1992-09-01,417000.000000000000
1992-10-01,377800.000000000000
1992-11-01,362250.000000000000
1992-12-01,339000.000000000000
1993-01-01,345600.000000000000
1993-02-01,338250.000000000000
1993-03-01,351000.000000000000
1993-04-01,354750.000000000000
1993-05-01,343600.000000000000
1993-06-01,342750.000000000000
1993-07-01,350800.000000000000
1993-08-01,341000.000000000000
1993-09-01,339000.000000000000
1993-10-01,349800.000000000000
1993-11-01,341000.000000000000
1993-12-01,323000.000000000000
1994-01-01,359200.000000000000
1994-02-01,348500.000000000000
1994-03-01,335750.000000000000
1994-04-01,344000.000000000000
1994-05-01,359000.000000000000
1994-06-01,340000.000000000000
1994-07-01,342200.000000000000
1994-08-01,336250.000000000000
1994-09-01,330250.000000000000
1994-10-01,333400.000000000000
1994-11-01,328000.000000000000
1994-12-01,323200.000000000000
1995-01-01,333500.000000000000
1995-02-01,337750.000000000000
1995-03-01,340250.000000000000
1995-04-01,350200.000000000000
1995-05-01,370250.000000000000
1995-06-01,366250.000000000000
1995-07-01,371400.000000000000
1995-08-01,356250.000000000000
1995-09-01,362000.000000000000
1995-10-01,371500.000000000000
1995-11-01,377000.000000000000
1995-12-01,365000.000000000000
1996-01-01,374000.000000000000
1996-02-01,377250.000000000000
1996-03-01,386400.000000000000
